"";"Timestamp";"What.programme.are.you.in.";"Have.you.taken.a.course.on.machine.learning.";"Have.you.taken.a.course.on.information.retrieval.";"Have.you.taken.a.course.on.statistics.";"Have.you.taken.a.course.on.databases.";"What.is.your.gender.";"Chocolate.makes.you.....";"birthday.x";"neighbors.x";"stand";"stress";"gain";"rn";"bed_time";"What.makes.a.good.day.for.you..1..";"What.makes.a.good.day.for.you..2.."
"1";"3/16/2021 14:37:20";"Master Tax Law - Tax and Technology";"yes";"0";"mu";"ja";"male";"neither";NA;2;"no";85;50;8;"22H 15M 0S";"Having completed a set task.";"Happy people"
"2";"3/24/2021 17:28:48";"AI";"no";"0";"sigma";"nee";"male";"I have no idea what you are talking about";NA;0;"no";0;100;3;"22H 0M 0S";"Coffee";"Sun"
"3";"3/25/2021 12:31:29";"DMT";"no";"0";"mu";"nee";"male";"fat";"1997-09-23";4;"no";40;5;NA;"0S  ";"Be Happy";"Having a very productive day"
"4";"3/25/2021 15:56:30";"CS";"no";"1";"mu";"ja";"male";"I have no idea what you are talking about";"1999-07-30";NA;"no";42;5;NA;"NA  ";"If you give me a 10";"If you give my team a 10"
"5";"3/25/2021 17:41:04";"AI";"yes";"0";"mu";"ja";"female";"neither";"1998-03-08";1;"no";20;50;4;"2H 0M 0S";"nice weather";"having good food"
"6";"3/26/2021 11:31:46";"system security";"no";"1";"sigma";"ja";"male";"neither";"1995-01-13";0;"no";20;30;5;"NA  ";"weather";"free day"
"7";"3/26/2021 13:59:32";"Quantitative Risk Management";"yes";"0";"mu";"nee";"male";"fat";"1997-07-28";0;"no";20;0;NA;"1H 30M 0S";"Classical music";"Data mining :-P"
"8";"3/26/2021 14:30:47";"Computational Science";"no";"0";"sigma";"nee";"male";"neither";"1993-11-14";0;"no";20;0,2;7;"12H 0M 0S";"Making progress in a tough course";"Watching the game, smoking some bud"
"9";"3/26/2021 15:31:08";"AI";"no";"0";"mu";"ja";"male";"neither";"1997-02-08";0;"no";99;1;6;"1H 45M 0S";"Drum";"Bass"
"10";"3/26/2021 22:29:30";"AI";"no";"0";"mu";"ja";"male";"neither";NA;1;"no";50;2;4;"1H 0M 0S";"Meeting a friend";"Being productive"
"11";"3/26/2021 23:46:34";"Computational Science";"no";"0";"mu";"nee";"male";"fat";NA;2;"no";90;30;7;"1H 0M 0S";"Good coffe";"Get motivated"
"12";"3/27/2021 16:02:34";"AI";"yes";"0";"mu";"nee";"male";"fat";"1998-04-15";3;"no";60;5;7;"1H 0M 0S";"Start studying early";"Finishing everything that I proposed for that day"
"13";"3/27/2021 19:31:57";"big data engineering ";"no";"1";"mu";"nee";"male";"neither";"1977-07-02";4;"unknown";75;500;7;"12H 0M 0S";"feel of achievement ";"go out, talk to people "
"14";"3/27/2021 20:59:51";"MSc in Bioinformatics and Systems Biology";"yes";"0";"mu";"nee";"female";"neither";"1997-07-11";0;"no";50;10;7;"2H 0M 0S";"relaxing and chill schedule";"nice weather"
"15";"3/27/2021 21:19:34";"Human Language Technology";"yes";"0";"mu";"nee";"female";"neither";"1998-04-07";2;"no";20;5;NA;"2H 0M 0S";"sunny wheather outside";"coronavirus restrictions lifted"
"16";"3/28/2021 10:27:38";"Artificial Intelligence";"yes";"0";"mu";"ja";"female";"fat";"1997-07-30";0;"no";10;0,1;7;"23H 10M 0S";"Socialize a bit";"Tidy environment"
"17";"3/28/2021 10:58:31";"computational science";"no";"0";"mu";"nee";"female";"fat";NA;0;"yes";0;50;8;"45M 0S ";"get up";"food"
"18";"3/28/2021 11:22:44";"MSc Artificial Intelligence";"no";"0";"mu";"nee";"female";"neither";"1966-09-03";0;"no";70;5;7;"23H 0M 0S";"nice weather";"surprising things happen"
"19";"3/28/2021 12:40:57";"QRM";"yes";"0";"mu";"ja";"male";"slim";NA;0;"yes";77;2,5;7;"5H 0M 0S";"Food";"Beer"
"20";"3/28/2021 20:21:27";"Master Business Analytics";"yes";"1";"mu";"ja";"male";"slim";"1998-01-06";0;"no";10;10;NA;"23H 30M 0S";"No stress";"Doing sports"
"21";"3/28/2021 21:38:59";"Msc Artificial Intelligence";"yes";"unknown";"mu";"nee";"female";"neither";"1995-08-04";0;"no";40;12;4;"13H 0M 0S";"food";"sleep"
"22";"3/28/2021 23:23:22";"Computational Science";"no";"0";"mu";"ja";"male";"slim";"1996-07-31";5;"no";7;8;NA;"NA  ";"Sleeping to a good movie";"Food"
"23";"3/29/2021 0:12:18";"cs";"no";"0";"mu";"ja";"male";"fat";"2020-09-01";10;"yes";93;93;10;"22H 0M 0S";"happy";"very happy"
"24";"3/29/2021 6:09:27";"Computational Science";"no";"0";"mu";"nee";"male";"fat";"1995-11-11";0;"no";100;0;2;"23H 0M 0S";"Good sleep";"Good food"
"25";"3/29/2021 6:39:25";"CS";"yes";"0";"mu";"ja";"female";"fat";"1997-10-29";0;"no";50;30;NA;"1H 23M 0S";"Everything is under control.";"Delicious food."
"26";"3/29/2021 8:32:53";"AI Masters";"yes";"0";"mu";"ja";"male";"slim";"1998-12-01";1;"no";NA;0;3;"23H 0M 0S";"Sun";"Good weather"
"27";"3/29/2021 9:41:50";"Linguistics: Text Mining";"yes";"0";"mu";"nee";"female";"neither";"1998-02-13";4;"unknown";70;50;NA;"2H 0M 0S";"A productive study/work day";"Inner peace"
"28";"3/29/2021 10:09:42";"Bioinformatics and Systems Biology";"no";"0";"mu";"nee";"female";"fat";"1997-11-04";0;"no";12;2;6;"22H 54M 0S";"Nice wheather";"Seeing my boyfriend"
"29";"3/29/2021 10:29:23";"BA";"yes";"1";"mu";"nee";"male";"neither";"1999-07-13";0;"no";30;1;6;"23H 30M 0S";"Sunny weather";"Coffee"
"30";"3/29/2021 10:39:02";"Master Bioinformatics & Systems Biology";"yes";"0";"mu";"nee";"male";"slim";"1989-05-20";1;"no";30;100;NA;"22H 0M 0S";"Enjoy the sun.";"Share some laughts."
"31";"3/29/2021 10:49:15";"Master in Computational Science";"yes";"1";"mu";"ja";"male";"fat";"1996-12-18";0;"no";90;20;NA;"0S  ";"sun";"no rain"
"32";"3/29/2021 11:00:34";"Python";"yes";"0";"mu";"ja";"male";"fat";"1997-10-30";0;"no";70;50;8;"30M 0S ";"laughing";"working out"
"33";"3/29/2021 11:16:17";"Msc Econometrics and Operations Research";"no";"1";"mu";"nee";"male";"fat";"1998-01-26";0;"no";0;20;10;"0S  ";"sunny weather";"wake up happy"
"34";"3/29/2021 11:19:21";"Computational science";"no";"0";"mu";"ja";"male";"neither";"1997-11-11";0;"no";5;70;NA;"12H 30M 0S";"Sunshine";"Friends"
"35";"3/29/2021 11:22:24";"Computational Science";"yes";"0";"mu";"ja";"female";"slim";NA;1;"no";10;5;3;"23H 30M 0S";"Meeting with friends";"Coffee to go in corona times"
"36";"3/29/2021 11:30:19";"Computational Science";"yes";"0";"sigma";"ja";"male";"fat";NA;3;"no";67;1;NA;"22H 45M 0S";"Doing physical activities (games) with friends in a park on sunny day with some alcoholic beverages.";"Winning a competitive korfbal match after putting in a good performance."
"37";"3/29/2021 11:39:25";"rMA Human Language Technology";"yes";"0";"mu";"nee";"female";"I have no idea what you are talking about";"1995-08-14";1;"no";50;10;7;"23H 0M 0S";"Take a walk in nature";"Good chat with friends and drinks"
"38";"3/29/2021 12:45:18";"Human Language Technology (Research Master Linguistics)";"yes";"0";"mu";"nee";"female";"neither";"1999-03-27";0;"no";40;5;7;"23H 30M 0S";"Sunshine";"Good night's sleep"
"39";"3/29/2021 13:05:02";"Econometrics and Operations Research";"yes";"0";"mu";"nee";"male";"fat";"1999-03-06";0;"no";30;8;6;"1H 0M 0S";"weather";"girlfriend"
"40";"3/29/2021 13:06:57";"Econometrics & Data Science";"yes";"0";"mu";"nee";"male";"neither";"1998-04-08";0;"no";0;80;NA;"2H 0M 0S";"Being productive";"Meeting friends"
"41";"3/29/2021 13:16:49";"MSc Artificial Intelligence";"yes";"0";"mu";"nee";"male";"fat";"1994-06-17";0;"no";20;18;NA;"23H 30M 0S";"sunshine";"sport"
"42";"3/29/2021 13:27:23";"Econometrics and Operation Research";"no";"0";"mu";"ja";"male";"fat";NA;2;"no";50;10;NA;"23H 0M 0S";"good weather";"having a good breakfast"
"43";"3/29/2021 13:43:38";"Econometrics & Operations Research";"yes";"0";"mu";"ja";"male";"neither";"1996-06-18";0;"no";12;0,5;NA;"11H 45M 0S";"Good food";"Sex"
"44";"3/29/2021 13:47:45";"QRM";"no";"0";"mu";"nee";"female";"fat";NA;0;"no";60;NA;8;"3M 0S ";"Getting all the work done that I've planned";"Seeing my friends and family"
"45";"3/29/2021 13:50:14";"MSc Artificial Intelligence @UvA";"yes";"1";"mu";"ja";"male";"fat";"1998-04-04";2;"no";55;NA;4;"1H 0M 0S";"music";"music"
"46";"3/29/2021 13:53:03";"Business Analytics";"yes";"1";"mu";"nee";"male";"I have no idea what you are talking about";"1993-06-24";0;"no";78;0;NA;"20H 0M 0S";"Saturday";"Monday"
"47";"3/29/2021 13:53:38";"Artificial Intelligence";"no";"0";"mu";"nee";"male";"I have no idea what you are talking about";"1997-01-01";0;"no";1;100;1;"2H 0M 0S";"food";"more food"
"48";"3/29/2021 13:56:26";"CS";"yes";"0";"mu";"nee";"male";"fat";"1995-11-16";0;"no";25;1;6;"1H 0M 0S";"Family";"Rice/Pasta for dinner"
"49";"3/29/2021 14:01:59";"Linguistics Text Mining ";"yes";"1";"sigma";"nee";"female";"I have no idea what you are talking about";NA;0;"no";90;50;9;"22H 0M 0S";"sun ";"exercise"
"50";"3/29/2021 14:07:33";"Econometrics";"no";"0";"mu";"nee";"male";"fat";NA;2;"no";70;20;5;"11H 3M 0S";"Going out";"not working"
"51";"3/29/2021 14:16:20";"EDS";"yes";"unknown";"mu";"ja";"male";"fat";NA;0;"no";12;1;7;"23H 30M 0S";"No stress";"Holidays"
"52";"3/29/2021 14:30:16";"Econometrics";"yes";"0";"mu";"nee";"male";"neither";"1998-10-06";0;"unknown";31;NA;4;"22H 27M 0S";"Sun";"Sporting"
"53";"3/29/2021 14:32:57";"AI";"no";"0";"mu";"ja";"female";"neither";"1999-11-20";0;"no";35;10;10;"2H 30M 0S";"Free time";"Social activity"
"54";"3/29/2021 14:35:19";"AI";"yes";"1";"mu";"ja";"female";"fat";"1998-11-15";0;"no";80;5;9;"20M 0S ";"Getting everything done that needed to be done";"Chilling in the sun"
"55";"3/29/2021 14:40:38";"AI";"yes";"0";"mu";"nee";"female";"neither";NA;2;"no";50;1;5;"2H 0M 0S";"Seeing friends and family that I love";"Calmth, positivity, learning/reading"
"56";"3/29/2021 14:44:22";"BA";"yes";"1";"mu";"ja";"male";"fat";NA;2;"no";10;20;3;"22H 30M 0S";"nice weather";"walk on the beach"
"57";"3/29/2021 14:49:24";"Finance & Technology";"yes";"0";"mu";"nee";"male";"fat";"1997-01-28";0;"no";0;20;2;"23H 0M 0S";"Soccer";"Sun"
"58";"3/29/2021 15:00:11";"Bioinformatics and Systems Biology";"yes";"0";"mu";"ja";"female";"fat";"1999-02-03";1;"no";75;10;NA;"23H 30M 0S";"When I have seen/spoken to my loved ones";"When I feel like my day has been productive but not too stresfull "
"59";"3/29/2021 15:03:24";"Master Artificial Intelligence";"no";"0";"mu";"nee";"male";"fat";"1992-09-20";0;"no";100;1;NA;"5H 25M 0S";"Rest";"Nothing"
"60";"3/29/2021 15:04:18";"Quantitative Risk Management ";"no";"0";"unknown";"nee";"male";"fat";"1996-05-16";1;"no";50;20;NA;"23H 30M 0S";"Efficiency";"Accomplishment"
"61";"3/29/2021 15:05:00";"Quantitative Risk Management ";"no";"0";"unknown";"nee";"male";"fat";"1996-05-16";1;"no";50;20;NA;"23H 30M 0S";"Efficiency";"Accomplishment"
"62";"3/29/2021 15:05:38";"Econometrics & Operation Research master";"yes";"1";"mu";"ja";"male";"neither";NA;0;"yes";60;30;7;"22H 30M 0S";"8 hours of sleep";"Friendly people"
"63";"3/29/2021 15:09:54";"QRM";"no";"0";"mu";"nee";"male";"fat";"1996-05-16";1;"no";50;20;7;"23H 30M 0S";"Efficiency";"Accomplishment"
"64";"3/29/2021 15:35:37";"CS";"yes";"0";"mu";"unknown";"female";"neither";NA;1;"no";20;15;6;"3H 0M 0S";"swimming";"beer"
"65";"3/29/2021 15:41:09";"M AI";"yes";"1";"mu";"ja";"female";"I have no idea what you are talking about";NA;0;"no";40;0;1;"3H 30M 0S";"a good night's sleep";"a relaxed morning"
"66";"3/29/2021 16:23:33";"OR";"no";"0";"mu";"nee";"male";"neither";"1996-09-09";0;"no";77;5;4;"2H 0M 0S";"No work/free time";"Beautiful weather"
"67";"3/29/2021 16:35:14";"Master Bioinformatics & Systems Biology";"yes";"0";"mu";"nee";"male";"neither";NA;0;"no";15;99;NA;"0S  ";"Fun activities";"Good food"
"68";"3/29/2021 16:35:49";"Finance and technology";"yes";"0";"mu";"nee";"male";"fat";"1994-08-15";0;"no";60;20;8;"2H 0M 0S";"Warm weather";"enough food"
"69";"3/29/2021 16:35:57";"BA";"yes";"1";"mu";"ja";"male";"fat";"1995-10-27";0;"no";60;1000;7;"23H 0M 0S";"Hanging out with friends";"watching sports"
"70";"3/29/2021 16:46:51";"Econometrics & Operations Research";"yes";"0";"mu";"nee";"male";"neither";"1998-07-02";0;"no";38;NA;NA;"1H 30M 0S";"Good breakfast";"Outdoor activity"
"71";"3/29/2021 16:49:13";"Climate econometrics";"yes";"0";"mu";"nee";"female";"neither";"1993-02-01";0;"no";30;10;NA;"23H 0M 0S";"Walking in the sun";"Eating good food"
"72";"3/29/2021 16:51:39";"CS";"no";"0";"mu";"unknown";"male";"slim";"1999-05-10";1;"no";5;1;5;"3H 0M 0S";"sleep";"people"
"73";"3/29/2021 17:35:57";"Duisenberg Honours: QRM";"no";"0";"mu";"nee";"male";"neither";"1996-09-22";0;"no";50;1;NA;"30M 0S ";"No Stress";"Be able to relax"
"74";"3/29/2021 17:47:11";"BA";"yes";"0";"mu";"nee";"male";"fat";"1994-12-13";0;"no";35;10;7;"3M 0S ";"If I completed all my tasks which I set for the day.";"When I have spoken with/seen at least some friends or relatives that day. "
"75";"3/29/2021 17:56:51";"AI";"yes";"0";"mu";"nee";"male";"neither";"1998-01-05";0;"no";0;NA;5;"22H 30M 0S";"Sun";"Food"
"76";"3/29/2021 17:58:00";"Medical Informatics";"yes";"1";"mu";"ja";"male";"fat";NA;0;"no";10;5;NA;"23H 0M 0S";"sport";"sun"
"77";"3/29/2021 18:02:48";"Master Artificial Intelligence";"yes";"1";"mu";"ja";"male";"neither";"1999-09-15";0;"no";10;1;6;"1H 0M 0S";"No obligations";"A good night of sleep"
"78";"3/29/2021 18:21:02";"Business analytics ";"yes";"0";"mu";"ja";"female";"fat";"1998-07-01";1;"no";40;50;NA;"22H 30M 0S";"A long walk outside";"Getting things done"
"79";"3/29/2021 19:01:05";"Mathematics";"yes";"0";"mu";"ja";"female";"neither";NA;0;"no";60;10;7;"23H 0M 0S";"Sun";"Social contacts"
"80";"3/29/2021 19:35:58";"Business Analytics";"yes";"unknown";"mu";"ja";"male";"fat";"1994-10-22";0;"no";60;1;NA;"23H 30M 0S";"Sun";"Tennis"
"81";"3/29/2021 19:56:04";"BA";"yes";"0";"mu";"ja";"male";"neither";"1999-02-23";NA;"unknown";99;101;2;"NA  ";"Payday";"The day that I paid my rent and don't have a red valued bank account."
"82";"3/29/2021 19:57:32";"Research Masters Human Language Technology";"yes";"0";"sigma";"ja";"male";"fat";"1995-10-06";0;"no";40;70;6;"30M 0S ";"Nice weather and a run";"Playing music with friends"
"83";"3/29/2021 20:04:52";"BA";"yes";"0";"mu";"unknown";"female";"fat";"1997-01-20";2;"no";80;50;8;"23H 40M 0S";"weather ";"Being with friends or family"
"84";"3/29/2021 20:09:38";"Finance and Technology";"yes";"unknown";"unknown";"nee";"male";"fat";"1996-12-03";0;"no";20;NA;6;"23H 10M 0S";"sports";"good food"
"85";"3/29/2021 20:33:29";"Artificial intelligence";"yes";"0";"mu";"ja";"male";"fat";"1996-02-22";0;"unknown";10;20;1;"23H 0M 0S";"Sun";"Productivity"
"86";"3/29/2021 20:53:49";"BA";"yes";"0";"mu";"nee";"male";"slim";"1998-09-10";0;"no";5;0;9;"0S  ";"Sport";"Progress towards a goal"
"87";"3/29/2021 21:09:39";"Computational Sciences";"no";"0";"mu";"nee";"male";"neither";"1996-03-21";0;"no";31;0;3;"23H 59M 0S";"Sun";"Fun"
"88";"3/29/2021 21:16:04";"Econometrics and data science ";"yes";"unknown";"mu";"nee";"female";"fat";"1998-06-02";2;"no";41;37;NA;"23H 30M 0S";"Sunshine ";"Good food"
"89";"3/29/2021 21:23:01";"Master in Computational Science";"no";"1";"mu";"ja";"female";"fat";"1998-03-26";0;"no";85;5;NA;"36M 0S ";"a nice meal";"the sun"
"90";"3/29/2021 21:30:30";"BA";"yes";"0";"mu";"nee";"female";"neither";"1996-09-17";2;"no";60;60;7;"23H 15M 0S";"Sun";"Happy people/friends"
"91";"3/29/2021 21:53:06";"AI";"no";"0";"mu";"nee";"female";"neither";"1992-12-16";0;"no";85;5;9;"3H 0M 0S";"Day off";"Good company"
"92";"3/29/2021 21:57:42";"Computational Science";"no";"0";"mu";"nee";"female";"neither";NA;0;"no";70;50;7;"0S  ";"sunny";"enough sleep"
"93";"3/29/2021 22:11:39";"Artificial intelligence";"no";"0";"mu";"ja";"male";"fat";"1996-01-17";3;"no";70;100;NA;"30M 0S ";"get a good grade";"a sunny day"
"94";"3/29/2021 22:17:34";"Computational Science";"no";"0";"mu";"nee";"male";"neither";"1994-12-11";0;"unknown";45;10;NA;"22H 15M 0S";"Talking and being around friends and loved ones";"When $GME goes up 69%      HODL ON"
"95";"3/29/2021 22:39:12";"AI";"yes";"1";"mu";"ja";"male";"I have no idea what you are talking about";"1996-01-27";0;"no";45;100;5;"2H 0M 0S";"productivity";"good food"
"96";"3/29/2021 22:50:20";"Msc AI";"no";"0";"mu";"nee";"male";"neither";"1997-09-17";0;"no";30;0;1;"23H 30M 0S";"Good sleep";"Meet friends"
"97";"3/29/2021 22:58:34";"AI";"no";"unknown";"mu";"nee";"female";"fat";"1998-04-04";0;"no";65;1;10;"1H 0M 0S";"No stressing about deadlines";"Take a nice walk"
"98";"3/29/2021 22:58:38";"ai";"no";"0";"mu";"nee";"male";"fat";"1996-01-15";1;"no";25;50;8;"3H 0M 0S";"happy";"productive"
"99";"3/29/2021 23:02:41";"Artificial Intelligence MSc";"yes";"1";"mu";"ja";"male";"neither";"1997-12-03";0;"unknown";35;70;3;"1H 0M 0S";"good rest";"social"
"100";"3/29/2021 23:03:17";"BA";"yes";"0";"mu";"ja";"female";"fat";"1998-10-13";0;"no";66;NA;7;"30M 0S ";"Nice weather";"Being with my friends"
"101";"3/29/2021 23:24:53";"AI";"no";"1";"mu";"ja";"male";"fat";NA;0;"no";30;70;8;"1H 30M 0S";"Low stresslevels";"Hanging out with friends"
"102";"3/29/2021 23:27:11";"QRM";"no";"0";"mu";"nee";"male";"fat";"1997-10-08";1;"no";0;0;NA;"2H 0M 0S";"Good food";"Good mood"
